"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2055","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2018","Fossil Fuels","Mobile Motive Power","0.088800"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2025","Fossil Fuels","Mobile Motive Power","0.000226"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2040","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2055","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","End Use Demand","Diesel","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2018","Fossil Fuels","Mobile Motive Power","0.403636"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2025","Fossil Fuels","Mobile Motive Power","0.001027"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2040","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2055","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","PJ","Fuel Consumption","Diesel","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.991200"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.573524"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.591150"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.636600"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.685500"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.749100"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.818550"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.894450"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.977400"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","1.468444"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2025","Electricity","Stationary Motive Power","0.849665"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2030","Electricity","Stationary Motive Power","0.875778"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2035","Electricity","Stationary Motive Power","0.943111"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2040","Electricity","Stationary Motive Power","1.015556"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2045","Electricity","Stationary Motive Power","1.109778"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2050","Electricity","Stationary Motive Power","1.212667"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2055","Electricity","Stationary Motive Power","1.325111"
"Kea","Industry","Mining","Stationary Motor","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2060","Electricity","Stationary Motive Power","1.448000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
