ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_SolarFixed_GenericSolar87,Generic solar (200MW+): 87,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_WaikatoPowerPlant,Waikato Power Plant,Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_CastleHillWindFarm,Castle Hill wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_HapuakoheWindFarm,Hapuakohe Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_HarapakiWindFarm,Harapaki wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_ProjectHuriwaka,Project Huriwaka,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_JerichoWindFarm,Jericho Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_KaihikuWindFarm,Kaihiku wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_KaimaiWindFarm,Kaimai wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_Kaiwaikawe,Kaiwaikawe,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_KaiweraDownsWindStage2,Kaiwera Downs wind (Stage 2),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_MahinerangiStage2,Mahinerangi (Stage 2),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_MountCassWindFarm,Mount Cass wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_MtMunroWindFarm,Mt Munro wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_OtotokaWindFarm,Ototoka Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_PuketoiWindFarm,Puketoi wind farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TaumatatotaraStage1,Taumatatotara (Stage 1),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TeRereHauExpansion,Te Rere Hau (Expansion),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TeRereHauRepower,Te Rere Hau (Repower),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_WaiukuWindFarm,Waiuku Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_ClarenceHydro54,Clarence hydro: 54,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_ClarenceHydroConway,Clarence hydro: Conway,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar10,Generic solar (101-200MW): 10,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar12,Generic solar (200MW+): 12,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar13,Generic solar (200MW+): 13,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar14,Generic solar (200MW+): 14,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar16,Generic solar (200MW+): 16,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar17,Generic solar (200MW+): 17,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar18,Generic solar (200MW+): 18,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar19,Generic solar (200MW+): 19,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar21,Generic solar (200MW+): 21,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar23,Generic solar (101-200MW): 23,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar25,Generic solar (200MW+): 25,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar26,Generic solar (101-200MW): 26,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar28,Generic solar (200MW+): 28,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar3,Generic solar (200MW+): 3,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar30,Generic solar (101-200MW): 30,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar31,Generic solar (101-200MW): 31,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar36,Generic solar (101-200MW): 36,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar38,Generic solar (101-200MW): 38,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar39,Generic solar (200MW+): 39,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar41,Generic solar (<100 MW): 41,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar45,Generic solar (101-200MW): 45,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar47,Generic solar (101-200MW): 47,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar48,Generic solar (101-200MW): 48,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar49,Generic solar (200MW+): 49,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar51,Generic solar (200MW+): 51,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar6,Generic solar (200MW+): 6,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar69,Generic solar (200MW+): 69,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar7,Generic solar (200MW+): 7,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar71,Generic solar (200MW+): 71,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar72,Generic solar (200MW+): 72,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar73,Generic solar (101-200MW): 73,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar8,Generic solar (200MW+): 8,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar88,Generic solar (200MW+): 88,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Wood_HuntlyUnit1Wood,Huntly Unit 1 (Wood),,,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Wood_HuntlyUnit2Wood,Huntly Unit 2 (Wood),,,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindFixOff_Southland,Offshore wind (Fixed) - Southland,Wind,Fixed Offshore Wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindFixOff_Taranaki,Offshore wind (Fixed) - Taranaki,Wind,Fixed Offshore Wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindFixOff_Waikato,Offshore wind (Fixed) - Waikato,Wind,Fixed Offshore Wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindFloatOff_Taranaki,Offshore wind (Floating) - Taranaki,Wind,Floating Offshore Wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindFloatOff_Waikato,Offshore wind (Floating) - Waikato,Wind,Floating Offshore Wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarDist_Res,ELC_SolarDist_Res,Solar,Distributed Solar,Electricity generation,Electricity generation,Electricity generation,Electricity generation
