ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_SolarFixed_GenericSolar83,Generic solar (101-200MW): 83,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar84,Generic solar (101-200MW): 84,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar86,Generic solar (<100 MW): 86,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar90,Generic solar (200MW+): 90,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind22,Generic Wind #22,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind25,Generic Wind #25,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind29,Generic Wind #29,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind30,Generic Wind #30,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind33,Generic Wind #33,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind34,Generic Wind #34,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind36,Generic Wind #36,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind41,Generic Wind #41,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind42,Generic Wind #42,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind45,Generic Wind #45,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind46,Generic Wind #46,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind56,Generic Wind #56,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind57,Generic Wind #57,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind58,Generic Wind #58,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind60,Generic Wind #60,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind63,Generic Wind #63,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind65,Generic Wind #65,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind66,Generic Wind #66,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind73,Generic Wind #73,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind76,Generic Wind #76,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind77,Generic Wind #77,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind80,Generic Wind #80,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker1Huntly,Generic OCGT peaker: 1 (Huntly),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker2Stratford,Generic OCGT peaker: 2 (Stratford),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker3Otahuhu,Generic OCGT peaker: 3 (Otahuhu),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker4Southdown,Generic OCGT peaker: 4 (Southdown),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker5Marsden,Generic OCGT peaker: 5 (Marsden),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker6Huntly,Generic OCGT peaker: 6 (Huntly),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker7Otahuhu,Generic OCGT peaker: 7 (Otahuhu),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_GenericOCGTPeaker8Huntly,Generic OCGT peaker: 8 (Huntly),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_BioRecip_GenericReciprocatingBiogas1HalfwayBush,Generic Reciprocating Biogas: 1 (Halfway Bush),Thermal,Reciprocating Biogas,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_BioRecip_GenericReciprocatingBiogas2Christchurch,Generic Reciprocating Biogas: 2 (Christchurch),Thermal,Reciprocating Biogas,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgatamarikiExpansion,Ngātamariki expansion,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgawhaStage4OEC5,Ngāwhā Stage 4 (OEC5),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_KawerauTOPP2,Kawerau (TOPP2),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TauharaStage1,Tauhara Stage 1,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TauharaStage1Expansion,Tauhara Stage 1 expansion,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TeHukaUnit3,Te Huka Unit 3,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TeMihiExpansion,Te Mihi (expansion),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_WairakeiCD,Wairākei C & D,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_ArnoldValleyHydro,Arnold Valley hydro,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_BushStreamHydroPlant,Bush Stream hydro plant,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_ClarenceHydroWaiauDiversions,Clarence hydro: Waiau Diversions,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_CluthaRiverBeaumontExpansion,Clutha River - Beaumont Expansion,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_CluthaRiverLuggateExpansion,Clutha River - Luggate expansion,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_CluthaRiverQueensberryExpansion,Clutha River - Queensberry expansion,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_CluthaRiverTuapekaExpansion,Clutha River - Tuapeka expansion,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_HaweaGatesHydroPlant,Hāwea Gates hydro plant,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_LakePukakiHydroPlant,Lake Pūkaki hydro plant,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_MatakitakiRiverGenericHydroPlant,Mātakitaki River generic hydro plant,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_NgakawauHydroScheme,Ngākawau hydro scheme,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_PottsRiverHydro,Potts River hydro,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_RakaiaRiverDam,Rakaia River dam,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_Taramakau,Taramakau,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_WairauHydroExpansion,Wairau Hydro Expansion,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_WhitcombeRiver,Whitcombe River,Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_ArgyleSolarFarm,Argyle solar farm,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_BrooksideSolarFarm,Brookside solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_EdgecumbeSolarHelios,Edgecumbe solar (Helios),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_EdgecumbeSolarFarmFNSF,Edgecumbe solar farm (FNSF),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MartonSolarFarm,Marton solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_FoxtonSolarFarm,Foxton solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_HawkeSBayAirportSolarFarm,Hawke's Bay Airport solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_KaiparaSolarFarm,Kaipara solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_KarioiSolarFarm,Karioi solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_KowhaiParkSolarFarm,Kōwhai Park solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_LauristonSolarFarm,Lauriston solar farm,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_ClandeboyeSolarFarm,Clandeboye solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_LodestoneDargaville,Lodestone Dargaville,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_DunsandelSolarFarm,Dunsandel solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MtSomersSolarFarm,Mt Somers solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_LodestoneTeHerengaOTeRaSolarFarm,Lodestone Te Herenga o Te Rā solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
