Connection point,Industrial,Commercial,Residential,Note
WEL0331UNETGN,0.08126757,0.082609251,0.836123179,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WGN0331POCOGN,0.04572004,0.13001007,0.824269889,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WHU0331POCOGN,0.217103984,0.063556851,0.719339164,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WIL0331CKHKGN,0.012727273,0.115490909,0.871781818,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WIR0331VECTGN,0.030222485,0.118921047,0.850856468,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WKM2201TUARGN,0.916666667,0.083333333,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WKO0331POCOGN,0.061703798,0.064058444,0.874237759,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WPR0331MPOWGN,0.141916003,0.075212737,0.78287126,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WPR0661MPOWGN,0.305600649,0.091314935,0.603084416,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WPW0331CHBPGN,0.191903694,0.081553169,0.726543137,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WRD0331UNETGN,0.011136627,0.080524483,0.908338889,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WRK0331HAWKGN,0.06029945,0.095157328,0.844543221,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WTK0111WATAGN,0.308564232,0.100755668,0.590680101,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WTU0331HAWKGN,0.043448164,0.089461683,0.867090154,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WVY0111POCOGN,0.259865972,0.097542815,0.642591214,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
