TechName,Comm-In,Comm-Out,EFF,EFF~2030,EFF~2050,LIFE,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AF,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_EDU-SC-GHP-ELC,COMELC,C_EDU-SC,3.5,4,4.5,10,1071.429,1017.857,997.5,0,0.108447,,,
C_HLTH-SH-Boiler-PLT,COMPLT,C_HLTH-SH,0.92,,,30,1956.522,,,10,0.342188,0.2,0.4,3
C_HLTH-SH-Boiler-ELC,COMELC,C_HLTH-SH,0.99,,,30,505.0505,,,2,0.342188,,,
C_HLTH-SH-Boiler-BIM,COMBIM,C_HLTH-SH,0.85,,,25,588.2353,,,2,0.342188,0,0,3
C_HLTH-SH-Boiler-H2R,COMH2R,C_HLTH-SH,0.75,,,25,733.3333,,,2,0.342188,0,0,3
C_HLTH-WH-Boiler-WOD,COMWOD,C_HLTH-WH,0.85,,,30,2117.647,,,10,0.45625,0.2,0.5,3
C_HLTH-WH-Boiler-PLT,COMPLT,C_HLTH-WH,0.92,,,30,1956.522,,,10,0.45625,0.2,0.5,3
C_HLTH-WH-Boiler-ELC,COMELC,C_HLTH-WH,0.99,,,30,505.0505,,,2,0.45625,,,
C_HLTH-WH-Boiler-BIM,COMBIM,C_HLTH-WH,0.85,,,25,588.2353,,,2,0.45625,0,0,3
C_HLTH-WH-Boiler-H2R,COMH2R,C_HLTH-WH,0.75,,,25,733.3333,,,2,0.45625,0,0,3
C_HLTH-PH-Boiler-WOD,COMWOD,C_HLTH-PH,0.85,,,30,2117.647,,,10,0.45625,0.5,0.7,3
C_HLTH-PH-Boiler-PLT,COMPLT,C_HLTH-PH,0.92,,,30,1956.522,,,10,0.45625,0.5,0.7,3
C_HLTH-PH-Boiler-BIM,COMBIM,C_HLTH-PH,0.85,,,25,588.2353,,,2,0.45625,0.02,0.02,3
C_HLTH-PH-Boiler-H2R,COMH2R,C_HLTH-PH,0.75,,,25,733.3333,,,2,0.45625,0,0,3
