techname,sets,tact,tcap
ELC_SolarFixed_GenericSolar63,ELE,PJ,GW
ELC_SolarFixed_GenericSolar67,ELE,PJ,GW
ELC_SolarFixed_GenericSolar79,ELE,PJ,GW
ELC_SolarFixed_GenericSolar86,ELE,PJ,GW
ELC_WindOn_GenericWind13,ELE,PJ,GW
ELC_SolarFixed_GloritSolarFarm,ELE,PJ,GW
ELC_SolarFixed_GreytownSolarFarmFNSF,ELE,PJ,GW
ELC_SolarFixed_GreytownSolarFarm,ELE,PJ,GW
ELC_WindOn_HapuakoheWindFarm,ELE,PJ,GW
ELC_WindOn_HarapakiWindFarm,ELE,PJ,GW
ELC_SolarFixed_HawkeSBayAirportSolarFarm,ELE,PJ,GW
ELC_SolarFixed_HelensvilleSolarFarm,ELE,PJ,GW
ELC_HydSC_HaweaGatesHydroPlant,ELE,PJ,GW
ELC_WindOn_JerichoWindFarm,ELE,PJ,GW
ELC_WindOn_KaihikuWindFarm,ELE,PJ,GW
ELC_WindOn_KaimaiWindFarm,ELE,PJ,GW
ELC_SolarFixed_KaiparaSolarFarm,ELE,PJ,GW
ELC_WindOn_Kaiwaikawe,ELE,PJ,GW
ELC_WindOn_KaiweraDownsWindStage2,ELE,PJ,GW
ELC_SolarFixed_KarioiSolarFarm,ELE,PJ,GW
ELC_Geo_KawerauTOPP2,ELE,PJ,GW
ELC_SolarFixed_KowhaiParkSolarFarm,ELE,PJ,GW
ELC_HydSC_LakePukakiHydroPlant,ELE,PJ,GW
ELC_SolarTrack_LauristonSolarFarm,ELE,PJ,GW
ELC_SolarFixed_LodestoneDargaville,ELE,PJ,GW
ELC_SolarFixed_LodestoneTeHerengaOTeRaSolarFarm,ELE,PJ,GW
ELC_SolarFixed_LodestoneWhitianga,ELE,PJ,GW
ELC_WindOn_MahinerangiStage2,ELE,PJ,GW
ELC_WindOn_ManawatuWindMeridian,ELE,PJ,GW
ELC_Geo_MangakinoGenericGeothermal,ELE,PJ,GW
ELC_SolarFixed_MangamaireSolarFarm,ELE,PJ,GW
ELC_SolarFixed_ManiototoSolarFarm,ELE,PJ,GW
ELC_SolarFixed_MarangaRaSolarFarm,ELE,PJ,GW
ELC_SolarFixed_MartonSolarFarmEnergyFarmsLtd,ELE,PJ,GW
ELC_SolarFixed_MartonSolarFarmHarmony,ELE,PJ,GW
ELC_SolarFixed_MartonSolarFarm,ELE,PJ,GW
ELC_SolarFixed_MastertonSolarFarmNZClearnEnergy,ELE,PJ,GW
ELC_SolarTrack_MaungaturotoSolarFarm,ELE,PJ,GW
ELC_SolarFixed_MoroaRoadSolarFarm,ELE,PJ,GW
ELC_WindOn_MountCassWindFarm,ELE,PJ,GW
ELC_WindOn_MtMunroWindFarm,ELE,PJ,GW
ELC_SolarFixed_MtSomersSolarFarm,ELE,PJ,GW
ELC_Geo_MakaiOutflow,ELE,PJ,GW
ELC_HydRR_MatakitakiRiverGenericHydroPlant,ELE,PJ,GW
ELC_SolarTrack_NasebySolarFarm,ELE,PJ,GW
ELC_HydRR_NgakawauHydroScheme,ELE,PJ,GW
ELC_Geo_NgatamarikiExpansion,ELE,PJ,GW
ELC_Geo_NgawhaExpansionStage5,ELE,PJ,GW
ELC_Geo_NgawhaExpansionStage6,ELE,PJ,GW
ELC_Geo_NgawhaStage4OEC5,ELE,PJ,GW
ELC_SolarFixed_OhauASolarPlant,ELE,PJ,GW
ELC_SolarTrack_OngaongaSolarHelios,ELE,PJ,GW
ELC_SolarTrack_OngaongaSolarFarmSkySolar,ELE,PJ,GW
ELC_WindOn_OtotokaWindFarm,ELE,PJ,GW
ELC_WindOn_PahiatuaWindFarm,ELE,PJ,GW
ELC_SolarFixed_PalmerstonNorthSolarFarm,ELE,PJ,GW
ELC_HydRR_PottsRiverHydro,ELE,PJ,GW
ELC_WindOn_ProjectHuriwaka,ELE,PJ,GW
ELC_WindOn_ProjectHurunuiWindFarm,ELE,PJ,GW
ELC_SolarFixed_PukenuiSolarFarm,ELE,PJ,GW
ELC_WindOn_PuketoiWindFarm,ELE,PJ,GW
ELC_HydRR_RakaiaRiverDam,ELE,PJ,GW
ELC_SolarFixed_RangiririSolarFarm,ELE,PJ,GW
ELC_SolarFixed_RangitaikiSolarStage1,ELE,PJ,GW
ELC_SolarFixed_RangitaikiSolarStage2,ELE,PJ,GW
ELC_SolarFixed_RangitaikiSolarStage3,ELE,PJ,GW
ELC_Geo_ReporoaStage1,ELE,PJ,GW
ELC_Geo_ReporoaStage2,ELE,PJ,GW
ELC_Geo_ReporoaStage3,ELE,PJ,GW
ELC_SolarFixed_RuakakaSolarFarm,ELE,PJ,GW
ELC_SolarFixed_SkinnerRoadSolarFarm,ELE,PJ,GW
ELC_WindOn_SouthlandWindFarm,ELE,PJ,GW
ELC_SolarFixed_SwannanoaSolarFarm,ELE,PJ,GW
ELC_HydRR_Taramakau,ELE,PJ,GW
ELC_WindOn_TaranakiWindMeridian,ELE,PJ,GW
ELC_SolarFixed_TaranakiSolarFarmMeridian,ELE,PJ,GW
ELC_SolarFixed_TasmanDistrictSolarFarm,ELE,PJ,GW
ELC_Geo_TauharaStage1,ELE,PJ,GW
ELC_Geo_TauharaStage1Expansion,ELE,PJ,GW
ELC_Geo_TauharaExpansionStage2,ELE,PJ,GW
ELC_Geo_TauharaExpansionStage3,ELE,PJ,GW
ELC_SolarFixed_TauheiSolarFarm,ELE,PJ,GW
ELC_WindOn_TaumatatotaraStage1,ELE,PJ,GW
ELC_Geo_TeHukaUnit3,ELE,PJ,GW
ELC_Geo_TeMihiExpansion,ELE,PJ,GW
ELC_WindOn_TeRereHauExpansion,ELE,PJ,GW
ELC_WindOn_TeRereHauRepower,ELE,PJ,GW
ELC_SolarTrack_ThePointSolarFarm,ELE,PJ,GW
ELC_SolarFixed_ThreeStreamsSolarFarm,ELE,PJ,GW
ELC_Geo_TikitereStage1,ELE,PJ,GW
ELC_SolarFixed_TikokinoSolarFarm,ELE,PJ,GW
ELC_Geo_TokaanuGeothermalStage2,ELE,PJ,GW
ELC_SolarFixed_TwinRiversSolarFarm,ELE,PJ,GW
ELC_Geo_TahekeGeothermalProject,ELE,PJ,GW
ELC_Geo_TahekeStage2,ELE,PJ,GW
ELC_Geo_TahekeStage3,ELE,PJ,GW
ELC_GasPkr_WaikatoPowerPlant,ELE,PJ,GW
ELC_SolarFixed_WaiotaheSolarFarm,ELE,PJ,GW
ELC_SolarFixed_WaiparaSolarFarm,ELE,PJ,GW
ELC_SolarFixed_WairarapaSolarFarm,ELE,PJ,GW
ELC_HydRR_WairauHydroExpansion,ELE,PJ,GW
ELC_Geo_WairakeiCD,ELE,PJ,GW
ELC_SolarFixed_WaitaraSolarFarm,ELE,PJ,GW
ELC_SolarFixed_WaiterimuSolarFarm,ELE,PJ,GW
ELC_WindOn_WaiukuWindFarm,ELE,PJ,GW
ELC_SolarFixed_WarengaSolarFarm,ELE,PJ,GW
ELC_SolarFixed_WellsfordSolarFarm,ELE,PJ,GW
ELC_HydRR_WhitcombeRiver,ELE,PJ,GW
ELC_Geo_AtiamuriGeothermal,ELE,PJ,GW
ELC_SolarFixed_OpunakeSolarFarmEnergyFarmsLtd,ELE,PJ,GW
ELC_SolarFixed_OpunakeSolarFarmHarmonyEnergy,ELE,PJ,GW
T_P_CICEPET_LOW,DMD,BVkm,000vehicles
T_P_CICEPET_MED,DMD,BVkm,000vehicles
T_P_CICEPET_HIGH,DMD,BVkm,000vehicles
T_P_CICEDSL_LOW,DMD,BVkm,000vehicles
T_P_CICEDSL_MED,DMD,BVkm,000vehicles
T_P_CICEDSL_HIGH,DMD,BVkm,000vehicles
T_P_CBEVELC_LOW,DMD,BVkm,000vehicles
T_P_CBEVELC_MED,DMD,BVkm,000vehicles
T_P_CBEVELC_HIGH,DMD,BVkm,000vehicles
T_P_CHYBPET_LOW,DMD,BVkm,000vehicles
T_P_CHYBPET_MED,DMD,BVkm,000vehicles
T_P_CHYBPET_HIGH,DMD,BVkm,000vehicles
T_P_CPHEVPET_LOW,DMD,BVkm,000vehicles
T_P_CPHEVPET_MED,DMD,BVkm,000vehicles
T_P_CPHEVPET_HIGH,DMD,BVkm,000vehicles
T_C_CICEPET_LOW,DMD,BVkm,000vehicles
T_C_CICEPET_MED,DMD,BVkm,000vehicles
T_C_CICEPET_HIGH,DMD,BVkm,000vehicles
T_C_CICEDSL_LOW,DMD,BVkm,000vehicles
T_C_CICEDSL_MED,DMD,BVkm,000vehicles
T_C_CICEDSL_HIGH,DMD,BVkm,000vehicles
T_C_CBEVELC_LOW,DMD,BVkm,000vehicles
T_C_CBEVELC_MED,DMD,BVkm,000vehicles
T_C_CBEVELC_HIGH,DMD,BVkm,000vehicles
T_C_CHYBPET_LOW,DMD,BVkm,000vehicles
T_C_CHYBPET_MED,DMD,BVkm,000vehicles
T_C_CHYBPET_HIGH,DMD,BVkm,000vehicles
T_P_MICEPET_LOW,DMD,BVkm,000vehicles
T_P_MICEPET_MED,DMD,BVkm,000vehicles
T_P_MICEPET_HIGH,DMD,BVkm,000vehicles
T_P_MBEVELC_LOW,DMD,BVkm,000vehicles
T_P_MBEVELC_MED,DMD,BVkm,000vehicles
T_P_MBEVELC_HIGH,DMD,BVkm,000vehicles
T_P_BICEDSL_LOW,DMD,BVkm,000vehicles
T_P_BICEDSL_MED,DMD,BVkm,000vehicles
T_P_BICEDSL_HIGH,DMD,BVkm,000vehicles
T_P_BBEVELC_LOW,DMD,BVkm,000vehicles
T_P_BBEVELC_MED,DMD,BVkm,000vehicles
T_P_BBEVELC_HIGH,DMD,BVkm,000vehicles
T_F_LTICEDSL_LOW,DMD,BVkm,000vehicles
T_F_LTICEDSL_MED,DMD,BVkm,000vehicles
T_F_LTICEDSL_HIGH,DMD,BVkm,000vehicles
T_F_LTBEVELC_LOW,DMD,BVkm,000vehicles
T_F_LTBEVELC_MED,DMD,BVkm,000vehicles
T_F_LTBEVELC_HIGH,DMD,BVkm,000vehicles
T_F_MTICEDSL_LOW,DMD,BVkm,000vehicles
T_F_MTICEDSL_MED,DMD,BVkm,000vehicles
T_F_MTICEDSL_HIGH,DMD,BVkm,000vehicles
T_F_MTBEVELC_LOW,DMD,BVkm,000vehicles
T_F_MTBEVELC_MED,DMD,BVkm,000vehicles
T_F_MTBEVELC_HIGH,DMD,BVkm,000vehicles
T_F_HTICEDSL_LOW,DMD,BVkm,000vehicles
T_F_HTICEDSL_MED,DMD,BVkm,000vehicles
T_F_HTICEDSL_HIGH,DMD,BVkm,000vehicles
T_F_HTBEVELC_LOW,DMD,BVkm,000vehicles
T_F_HTBEVELC_MED,DMD,BVkm,000vehicles
T_F_HTBEVELC_HIGH,DMD,BVkm,000vehicles
T_P_CHYBDSL_LOW,DMD,BVkm,000vehicles
T_P_CHYBDSL_MED,DMD,BVkm,000vehicles
T_P_CHYBDSL_HIGH,DMD,BVkm,000vehicles
T_C_CHYBDSL_LOW,DMD,BVkm,000vehicles
T_C_CHYBDSL_MED,DMD,BVkm,000vehicles
T_C_CHYBDSL_HIGH,DMD,BVkm,000vehicles
T_P_CFCH2R_LOW,DMD,BVkm,000vehicles
T_P_CFCH2R_MED,DMD,BVkm,000vehicles
T_P_CFCH2R_HIGH,DMD,BVkm,000vehicles
T_C_CFCH2R_LOW,DMD,BVkm,000vehicles
T_C_CFCH2R_MED,DMD,BVkm,000vehicles
T_C_CFCH2R_HIGH,DMD,BVkm,000vehicles
T_P_CPHEVDSL_LOW,DMD,BVkm,000vehicles
T_P_CPHEVDSL_MED,DMD,BVkm,000vehicles
T_P_CPHEVDSL_HIGH,DMD,BVkm,000vehicles
T_C_CPHEVDSL_LOW,DMD,BVkm,000vehicles
T_C_CPHEVDSL_MED,DMD,BVkm,000vehicles
T_C_CPHEVDSL_HIGH,DMD,BVkm,000vehicles
T_F_LTFCH2R_LOW,DMD,BVkm,000vehicles
T_F_LTFCH2R_MED,DMD,BVkm,000vehicles
T_F_LTFCH2R_HIGH,DMD,BVkm,000vehicles
T_F_MTFCH2R_LOW,DMD,BVkm,000vehicles
T_F_MTFCH2R_MED,DMD,BVkm,000vehicles
T_F_MTFCH2R_HIGH,DMD,BVkm,000vehicles
T_F_HTFCH2R_LOW,DMD,BVkm,000vehicles
T_F_HTFCH2R_MED,DMD,BVkm,000vehicles
T_F_HTFCH2R_HIGH,DMD,BVkm,000vehicles
T_P_BFCH2R_LOW,DMD,BVkm,000vehicles
T_P_BFCH2R_MED,DMD,BVkm,000vehicles
T_P_BFCH2R_HIGH,DMD,BVkm,000vehicles
C_EDU-SH-Boiler-LPG,DMD,PJ,GW
C_EDU-SH-Boiler-PLT,DMD,PJ,GW
C_EDU-SH-Boiler-ELC,DMD,PJ,GW
C_EDU-SH-Boiler-BIG,DMD,PJ,GW
C_EDU-SH-Boiler-H2R,DMD,PJ,GW
C_EDU-WH-Boiler-LPG,DMD,PJ,GW
C_EDU-WH-Boiler-WOD,DMD,PJ,GW
C_EDU-WH-Boiler-PLT,DMD,PJ,GW
C_EDU-WH-Boiler-BIG,DMD,PJ,GW
C_EDU-WH-Boiler-H2R,DMD,PJ,GW
C_EDU-SH-GHP-ELC,DMD,PJ,GW
C_EDU-WH-AIRHP-ELC,DMD,PJ,GW
C_EDU-WH-GHP-ELC,DMD,PJ,GW
C_EDU-WH-Cylinder-ELC,DMD,PJ,GW
C_EDU-WH-Cylinder-NGA,DMD,PJ,GW
C_EDU-WH-Cylinder-LPG,DMD,PJ,GW
C_EDU-WH-Instant-NGA,DMD,PJ,GW
C_EDU-WH-Instant-LPG,DMD,PJ,GW
C_EDU-WH-Instant-ELC,DMD,PJ,GW
C_EDU-MPM-MPM-LPG,DMD,PJ,GW
C_EDU-MPM-MPM-ELC,DMD,PJ,GW
C_EDU-MPM-MPM-H2R,DMD,PJ,GW
C_EDU-MPS-MPS-DSL,DMD,PJ,GW
C_EDU-MPS-MPS-LPG,DMD,PJ,GW
C_EDU-MPS-MPS-H2R,DMD,PJ,GW
C_EDU-SC-GHP-ELC,DMD,PJ,GW
C_HLTH-SH-Boiler-LPG,DMD,PJ,GW
C_HLTH-SH-Boiler-PLT,DMD,PJ,GW
C_HLTH-SH-Boiler-ELC,DMD,PJ,GW
C_HLTH-SH-Boiler-BIG,DMD,PJ,GW
C_HLTH-SH-Boiler-H2R,DMD,PJ,GW
C_HLTH-WH-Boiler-LPG,DMD,PJ,GW
C_HLTH-WH-Boiler-NGA,DMD,PJ,GW
C_HLTH-WH-Boiler-WOD,DMD,PJ,GW
C_HLTH-WH-Boiler-PLT,DMD,PJ,GW
C_HLTH-WH-Boiler-ELC,DMD,PJ,GW
C_HLTH-WH-Boiler-BIG,DMD,PJ,GW
C_HLTH-WH-Boiler-H2R,DMD,PJ,GW
C_HLTH-PH-Boiler-DSL,DMD,PJ,GW
C_HLTH-PH-Boiler-LPG,DMD,PJ,GW
C_HLTH-PH-Boiler-NGA,DMD,PJ,GW
C_HLTH-PH-Boiler-WOD,DMD,PJ,GW
C_HLTH-PH-Boiler-PLT,DMD,PJ,GW
C_HLTH-PH-Boiler-BIG,DMD,PJ,GW
C_HLTH-PH-Boiler-H2R,DMD,PJ,GW
C_HLTH-WH-DirectH-GEO,DMD,PJ,GW
C_HLTH-SH-GHP-ELC,DMD,PJ,GW
C_HLTH-WH-AIRHP-ELC,DMD,PJ,GW
C_HLTH-WH-GHP-ELC,DMD,PJ,GW
C_HLTH-WH-Cylinder-NGA,DMD,PJ,GW
C_HLTH-WH-Cylinder-LPG,DMD,PJ,GW
C_HLTH-WH-Instant-NGA,DMD,PJ,GW
C_HLTH-WH-Instant-LPG,DMD,PJ,GW
C_HLTH-WH-Instant-ELC,DMD,PJ,GW
C_HLTH-MPM-MPM-PET,DMD,PJ,GW
C_HLTH-MPM-MPM-LPG,DMD,PJ,GW
C_HLTH-MPM-MPM-ELC,DMD,PJ,GW
C_HLTH-MPM-MPM-H2R,DMD,PJ,GW
C_HLTH-MPS-MPS-DSL,DMD,PJ,GW
C_HLTH-MPS-MPS-PET,DMD,PJ,GW
C_HLTH-MPS-MPS-LPG,DMD,PJ,GW
C_HLTH-MPS-MPS-H2R,DMD,PJ,GW
C_HLTH-SC-GHP-ELC,DMD,PJ,GW
C_OFFC-SH-Boiler-LPG,DMD,PJ,GW
C_OFFC-SH-Boiler-WOD,DMD,PJ,GW
C_OFFC-SH-Boiler-PLT,DMD,PJ,GW
C_OFFC-SH-Boiler-ELC,DMD,PJ,GW
C_OFFC-SH-Boiler-BIG,DMD,PJ,GW
C_OFFC-SH-Boiler-H2R,DMD,PJ,GW
C_OFFC-WH-Boiler-LPG,DMD,PJ,GW
C_OFFC-WH-Boiler-NGA,DMD,PJ,GW
C_OFFC-WH-Boiler-WOD,DMD,PJ,GW
C_OFFC-WH-Boiler-PLT,DMD,PJ,GW
