Process,CommodityIn,CommodityOut,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
C_WSR-SH-Boiler-H2R,COMH2R,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-LPG,COMLPG,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-NGA,COMNGA,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-WOD,COMWOD,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-PLT,COMPLT,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-ELC,COMELC,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-BIG,COMBIG,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-WH-Boiler-H2R,COMH2R,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-SH-GHP-ELC,COMELC,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_WSR-WH-AirHP-ELC,COMELC,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
C_WSR-WH-GHP-ELC,COMELC,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_WSR-WH-Cylinder-LPG,COMLPG,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_WSR-WH-Instant-NGA,COMNGA,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_WSR-WH-Instant-LPG,COMLPG,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_WSR-WH-Instant-ELC,COMELC,C_WSR-WH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
