"Scenario","Attribute","Commodity","Process","Period","Value","Sector","Subsector","Technology","Fuel","Enduse","Unit","Parameters","FuelGroup","FuelSourceProcess","CommoditySet","ProcessSet","Technology_Group"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2045","0.016613","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2050","0.003392","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2025","0.028271","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2030","0.034599","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2035","0.034599","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2040","0.032328","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2045","0.015841","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti--DSL","2050","0.002718","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2018","0.100000","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2025","0.070067","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2030","0.046712","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2035","0.023356","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2018","0.100000","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2025","0.070067","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2030","0.046712","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRDSL","ALIVE-MoTP-Mob-Uti-_DSL00","2035","0.023356","Agriculture","Livestock Farming","Utility Vehicle (Agricultural)","Diesel","Farm Vehicle","PJ","Fuel Consumption","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2025","0.311205","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2030","0.545209","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2035","0.783179","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2040","0.894877","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2045","0.818061","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2050","0.747838","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2055","0.683644","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2060","0.624959","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2025","0.389365","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2030","0.638464","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2035","0.892369","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2040","1.033067","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2045","0.993070","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2050","0.954620","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2055","0.917658","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD-ELC","2060","0.882129","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2018","0.369478","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2025","0.240161","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2030","0.147791","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2035","0.055422","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2018","0.369478","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2025","0.240161","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2030","0.147791","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-IrgVSD_ELC00","2035","0.055422","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2018","1.106959","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2025","0.720482","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2030","0.443373","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2035","0.166265","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2018","1.106959","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2025","0.720482","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2030","0.443373","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-IRG-Irg_ELC00","2035","0.166265","Agriculture","Dairy Cattle Farming","Irrigator","Electricity","Irrigation","PJ","Fuel Consumption","Electricity","","","","Stationary Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2025","0.025029","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2030","0.024231","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2035","0.023379","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2040","0.022479","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2045","0.021614","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2050","0.020782","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2055","0.019983","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG--ELC","2060","0.019214","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2025","0.025784","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2030","0.024793","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2035","0.023840","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2040","0.023209","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2045","0.022878","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2050","0.022551","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2055","0.022229","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG--ELC","2060","0.021913","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-LIG-LT_ELC00","2018","0.045833","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Tui","VAR_FIn","AGRELC","ADCF-LIG-LT_ELC00","2018","0.045833","Agriculture","Dairy Cattle Farming","Lights (General)","Electricity","Lighting","PJ","Fuel Consumption","Electricity","","","","Electronics and Lighting"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2025","0.120677","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2030","0.169004","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2035","0.159004","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2040","0.149082","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2045","0.139779","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2050","0.131057","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2055","0.122878","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2060","0.115211","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2025","0.129368","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2030","0.178240","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2035","0.169249","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2040","0.162723","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2045","0.158403","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2050","0.154197","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2055","0.150103","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Bike--ELC","2060","0.146117","Agriculture","Dairy Cattle Farming","Farm Bike","Electricity","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2035","0.047451","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2040","0.100765","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2045","0.125517","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2050","0.161480","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2055","0.170503","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2060","0.159863","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2035","0.048850","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2040","0.108196","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2045","0.146949","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2050","0.193266","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2055","0.208280","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-MTr--ELC","2060","0.202750","Agriculture","Dairy Cattle Farming","Truck (Agricultural)","Electricity","Truck Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2035","0.199779","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2040","0.199779","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2045","0.199779","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2040","0.293362","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2045","0.293362","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Trac--ELC","2050","0.293362","Agriculture","Dairy Cattle Farming","Tractor (Agricultural)","Electricity","Tractor Services","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2025","0.001236","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2030","0.013221","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2035","0.037199","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2040","0.064141","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2045","0.075944","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2050","0.086750","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2055","0.086162","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Kea","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2060","0.080786","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2025","0.001451","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2030","0.013627","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2035","0.038313","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2040","0.068302","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2045","0.087058","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2050","0.102893","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
"Tui","VAR_FIn","AGRELC","ADCF-MoTP-Mob-Uti--ELC","2055","0.105251","Agriculture","Dairy Cattle Farming","Utility Vehicle (Agricultural)","Electricity","Farm Vehicle","PJ","Fuel Consumption","Electricity","","","","Mobile Motive Power"
