STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SCENARIO_POPPR_NAT_008,Scenario,YEAR_POPPR_NAT_008,Year,MEASURE_POPPR_NAT_008,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2049,2049,DTH,,53800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2049,2049,NATINC,,-13500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2049,2049,NETMIG,,-10700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2049,2049,TOTPOP,,6065400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2050,2050,BTH,,43000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2050,2050,DTH,,54400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2050,2050,NATINC,,-15100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2050,2050,NETMIG,,-10500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2050,2050,TOTPOP,,6095000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2051,2051,BTH,,43100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2051,2051,DTH,,54900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2051,2051,NATINC,,-15800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2051,2051,NETMIG,,-10200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2051,2051,TOTPOP,,6123800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2052,2052,BTH,,42600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2052,2052,DTH,,55600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2052,2052,NATINC,,-16900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2052,2052,NETMIG,,-10000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2052,2052,TOTPOP,,6142400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2053,2053,BTH,,41300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2053,2053,DTH,,56200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2053,2053,NATINC,,-18500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2053,2053,NETMIG,,-9700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2053,2053,TOTPOP,,6169700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2054,2054,BTH,,41400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2054,2054,DTH,,56800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2054,2054,NATINC,,-19000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2054,2054,NETMIG,,-9500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2054,2054,TOTPOP,,6192900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2055,2055,BTH,,41100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2055,2055,DTH,,57300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2055,2055,NATINC,,-20000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2055,2055,NETMIG,,-9200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2055,2055,TOTPOP,,6213200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2056,2056,BTH,,40100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2056,2056,DTH,,57700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2056,2056,NATINC,,-21600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2056,2056,NETMIG,,-9000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2056,2056,TOTPOP,,6232300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2057,2057,BTH,,39900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2057,2057,DTH,,58300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2057,2057,NATINC,,-22200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2057,2057,NETMIG,,-8700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2057,2057,TOTPOP,,6258100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2058,2058,BTH,,39200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2058,2058,DTH,,58500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2058,2058,NATINC,,-23300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2058,2058,NETMIG,,-8500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2058,2058,TOTPOP,,6288900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2059,2059,BTH,,39000,
