STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,ETHNICITY_POPPR_ETH_005,Ethnicity,PROJECTION_POPPR_ETH_005,Projection,AREA_POPPR_ETH_005,Area,YEAR_POPPR_ETH_005,Year,MEASURE_POPPR_ETH_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2043,2043,TOTPOP,,108400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2018,2018,TOTPOP,,54000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2023,2023,TOTPOP,,57700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2028,2028,TOTPOP,,59900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2033,2033,TOTPOP,,61600,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2038,2038,TOTPOP,,62900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,16,Tasman region,2043,2043,TOTPOP,,63700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2018,2018,TOTPOP,,52700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2023,2023,TOTPOP,,55500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2028,2028,TOTPOP,,56900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2033,2033,TOTPOP,,57800,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2038,2038,TOTPOP,,58300,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,17,Nelson region,2043,2043,TOTPOP,,58500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2018,2018,TOTPOP,,48700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2023,2023,TOTPOP,,51000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2028,2028,TOTPOP,,52000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2033,2033,TOTPOP,,52700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2038,2038,TOTPOP,,52900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,18,Marlborough region,2043,2043,TOTPOP,,52900,
