Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,Fuel,CommodityGroup
VAR_FOut,RESDSL,IMPNRGZ,2026,NI,2026,ANNUAL,-,1.57821626366525,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESPET,IMPNRGZ,2026,NI,2026,ANNUAL,-,8.60451274292752,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,LPG,IMPNRGZ,2027,NI,2027,ANNUAL,-,0.039210266666666,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2027,NI,2027,ANNUAL,-,5.53365376715358,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2027,NI,2027,ANNUAL,-,0.837109855999984,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2027,NI,2027,ANNUAL,-,5.3888915656,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMLPG,IMPNRGZ,2027,NI,2027,ANNUAL,-,1.11154394386666,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,COMPET,IMPNRGZ,2027,NI,2027,ANNUAL,-,0.263572567999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2027,NI,2027,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2027,NI,2027,ANNUAL,-,9.25100958249999,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2027,NI,2027,ANNUAL,-,0.425713103999996,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDLPG,IMPNRGZ,2027,NI,2027,ANNUAL,-,2.34099126,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,INDPET,IMPNRGZ,2027,NI,2027,ANNUAL,-,0.14080415549999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,JET,IMPNRGZ,2027,NI,2027,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,RESDSL,IMPNRGZ,2027,NI,2027,ANNUAL,-,1.44669824169314,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESLPG,IMPNRGZ,2027,NI,2027,ANNUAL,-,1.54223685088297,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,RESPET,IMPNRGZ,2027,NI,2027,ANNUAL,-,7.88747001435022,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COA,IMPNRGZ,2028,NI,2028,ANNUAL,-,11.2347854420333,traditional-v3_0_0,Production,Production,Infeasible Energy,Coal,Energy
VAR_FOut,LPG,IMPNRGZ,2028,NI,2028,ANNUAL,-,4.45160149329905,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2028,NI,2028,ANNUAL,-,5.09231544894198,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2028,NI,2028,ANNUAL,-,0.784790489999985,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2028,NI,2028,ANNUAL,-,5.081424687,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2028,NI,2028,ANNUAL,-,0.247099282499999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2028,NI,2028,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2028,NI,2028,ANNUAL,-,8.48205244062499,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2028,NI,2028,ANNUAL,-,0.354760919999996,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2028,NI,2028,ANNUAL,-,0.129111434374991,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,RESDSL,IMPNRGZ,2028,NI,2028,ANNUAL,-,1.31518021972104,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESPET,IMPNRGZ,2028,NI,2028,ANNUAL,-,7.17042728577293,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,TRAJET,IMPNRGZ,2028,NI,2028,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,COA,IMPNRGZ,2029,NI,2029,ANNUAL,-,9.25204354983999,traditional-v3_0_0,Production,Production,Infeasible Energy,Coal,Energy
