UC_N,Pset_PN,UC_ATTR,Year,LimType,UC_CAP,UC_CAP~RHS,UC_RHSRT,UC_RHSRT~0
,"T_P_BBEVELC_LOW,T_P_BBEVELC_MED",,,,-0.3333,,,
T_P_BICELPG_MED_SHR,T_P_BICELPG_MED,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICELPG_LOW,T_P_BICELPG_HIGH",,,,-0.3333,,,
T_P_BICELPG_LOW_SHR,T_P_BICELPG_LOW,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICELPG_MED,T_P_BICELPG_HIGH",,,,-0.3333,,,
T_P_BICELPG_HIGH_SHR,T_P_BICELPG_HIGH,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICELPG_LOW,T_P_BICELPG_MED",,,,-0.3333,,,
T_P_BFCH2R_MED_SHR,T_P_BFCH2R_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BFCH2R_LOW,T_P_BFCH2R_HIGH",,,,-0.3333,,,
T_P_BFCH2R_LOW_SHR,T_P_BFCH2R_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BFCH2R_MED,T_P_BFCH2R_HIGH",,,,-0.3333,,,
T_P_BFCH2R_HIGH_SHR,T_P_BFCH2R_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BFCH2R_LOW,T_P_BFCH2R_MED",,,,-0.3333,,,
T_F_LTICEPET_MED_SHR,T_F_LTICEPET_MED,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_F_LTICEPET_LOW,T_F_LTICEPET_HIGH",,,,-0.3333,,,
T_F_LTICEPET_LOW_SHR,T_F_LTICEPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_F_LTICEPET_MED,T_F_LTICEPET_HIGH",,,,-0.3333,,,
T_F_LTICEPET_HIGH_SHR,T_F_LTICEPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_F_LTICEPET_LOW,T_F_LTICEPET_MED",,,,-0.3333,,,
T_F_LTICEDSL_MED_SHR,T_F_LTICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTICEDSL_LOW,T_F_LTICEDSL_HIGH",,,,-0.3333,,,
T_F_LTICEDSL_LOW_SHR,T_F_LTICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTICEDSL_MED,T_F_LTICEDSL_HIGH",,,,-0.3333,,,
T_F_LTICEDSL_HIGH_SHR,T_F_LTICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTICEDSL_LOW,T_F_LTICEDSL_MED",,,,-0.3333,,,
T_F_LTBEVELC_MED_SHR,T_F_LTBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTBEVELC_LOW,T_F_LTBEVELC_HIGH",,,,-0.3333,,,
T_F_LTBEVELC_LOW_SHR,T_F_LTBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTBEVELC_MED,T_F_LTBEVELC_HIGH",,,,-0.3333,,,
T_F_LTBEVELC_HIGH_SHR,T_F_LTBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTBEVELC_LOW,T_F_LTBEVELC_MED",,,,-0.3333,,,
T_F_LTFCH2R_MED_SHR,T_F_LTFCH2R_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTFCH2R_LOW,T_F_LTFCH2R_HIGH",,,,-0.3333,,,
T_F_LTFCH2R_LOW_SHR,T_F_LTFCH2R_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTFCH2R_MED,T_F_LTFCH2R_HIGH",,,,-0.3333,,,
T_F_LTFCH2R_HIGH_SHR,T_F_LTFCH2R_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_LTFCH2R_LOW,T_F_LTFCH2R_MED",,,,-0.3333,,,
T_F_MTICEDSL_MED_SHR,T_F_MTICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTICEDSL_LOW,T_F_MTICEDSL_HIGH",,,,-0.3333,,,
T_F_MTICEDSL_LOW_SHR,T_F_MTICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTICEDSL_MED,T_F_MTICEDSL_HIGH",,,,-0.3333,,,
T_F_MTICEDSL_HIGH_SHR,T_F_MTICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTICEDSL_LOW,T_F_MTICEDSL_MED",,,,-0.3333,,,
T_F_MTBEVELC_MED_SHR,T_F_MTBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTBEVELC_LOW,T_F_MTBEVELC_HIGH",,,,-0.3333,,,
T_F_MTBEVELC_LOW_SHR,T_F_MTBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTBEVELC_MED,T_F_MTBEVELC_HIGH",,,,-0.3333,,,
T_F_MTBEVELC_HIGH_SHR,T_F_MTBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTBEVELC_LOW,T_F_MTBEVELC_MED",,,,-0.3333,,,
T_F_MTFCH2R_MED_SHR,T_F_MTFCH2R_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTFCH2R_LOW,T_F_MTFCH2R_HIGH",,,,-0.3333,,,
T_F_MTFCH2R_LOW_SHR,T_F_MTFCH2R_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTFCH2R_MED,T_F_MTFCH2R_HIGH",,,,-0.3333,,,
T_F_MTFCH2R_HIGH_SHR,T_F_MTFCH2R_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_MTFCH2R_LOW,T_F_MTFCH2R_MED",,,,-0.3333,,,
T_F_HTICEDSL_MED_SHR,T_F_HTICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTICEDSL_LOW,T_F_HTICEDSL_HIGH",,,,-0.3333,,,
T_F_HTICEDSL_LOW_SHR,T_F_HTICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTICEDSL_MED,T_F_HTICEDSL_HIGH",,,,-0.3333,,,
T_F_HTICEDSL_HIGH_SHR,T_F_HTICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTICEDSL_LOW,T_F_HTICEDSL_MED",,,,-0.3333,,,
T_F_HTBEVELC_MED_SHR,T_F_HTBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTBEVELC_LOW,T_F_HTBEVELC_HIGH",,,,-0.3333,,,
T_F_HTBEVELC_LOW_SHR,T_F_HTBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTBEVELC_MED,T_F_HTBEVELC_HIGH",,,,-0.3333,,,
T_F_HTBEVELC_HIGH_SHR,T_F_HTBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTBEVELC_LOW,T_F_HTBEVELC_MED",,,,-0.3333,,,
T_F_HTFCH2R_MED_SHR,T_F_HTFCH2R_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTFCH2R_LOW,T_F_HTFCH2R_HIGH",,,,-0.3333,,,
T_F_HTFCH2R_LOW_SHR,T_F_HTFCH2R_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTFCH2R_MED,T_F_HTFCH2R_HIGH",,,,-0.3333,,,
T_F_HTFCH2R_HIGH_SHR,T_F_HTFCH2R_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_F_HTFCH2R_LOW,T_F_HTFCH2R_MED",,,,-0.3333,,,
