Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
30/06/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02412,0.021,10.500,0,
30/06/2014,9,Wellington,All combined,Solar (All),9,0.16426,0.085,9.489,1,2.300
30/06/2014,16,Tasman,All combined,Solar (All),1,0.04914,0.002,2.400,0,
30/06/2014,17,Nelson,All combined,Solar (All),4,0.42328,0.028,7.025,0,
30/06/2014,18,Marlborough,All combined,Solar (All),8,0.66500,0.077,9.625,0,
30/06/2014,13,Canterbury,All combined,Solar (All),32,0.16239,0.189,5.903,2,6.000
30/06/2014,14,Otago,All combined,Solar (All),8,0.12365,0.094,11.750,0,
30/06/2014,15,Southland,All combined,Solar (All),4,0.06429,0.057,14.218,1,5.000
31/07/2014,1,Northland,All combined,Solar (All),10,0.17123,0.057,5.700,0,
31/07/2014,2,Auckland,All combined,Solar (All),17,0.12187,0.117,6.876,2,3.000
31/07/2014,3,Waikato,All combined,Solar (All),14,0.08877,0.177,12.643,1,5.000
31/07/2014,4,Bay of Plenty,All combined,Solar (All),6,0.12801,0.088,14.667,0,
31/07/2014,6,Hawke's Bay,All combined,Solar (All),9,0.16444,0.089,9.861,1,0.250
31/07/2014,7,Taranaki,All combined,Solar (All),2,0.04671,0.009,4.500,0,
31/07/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02413,0.021,10.500,0,
31/07/2014,9,Wellington,All combined,Solar (All),8,0.14655,0.083,10.388,0,
31/07/2014,16,Tasman,All combined,Solar (All),1,0.04926,0.002,2.400,0,
31/07/2014,17,Nelson,All combined,Solar (All),4,0.42283,0.028,7.025,0,
31/07/2014,18,Marlborough,All combined,Solar (All),8,0.66445,0.077,9.625,0,
31/07/2014,13,Canterbury,All combined,Solar (All),33,0.16707,0.191,5.785,1,2.000
31/07/2014,14,Otago,All combined,Solar (All),8,0.12349,0.094,11.750,0,
31/07/2014,15,Southland,All combined,Solar (All),4,0.06441,0.057,14.218,0,
31/08/2014,1,Northland,All combined,Solar (All),10,0.17109,0.057,5.700,0,
31/08/2014,2,Auckland,All combined,Solar (All),18,0.12872,0.121,6.697,1,2.150
31/08/2014,3,Waikato,All combined,Solar (All),14,0.08878,0.179,12.779,0,
31/08/2014,4,Bay of Plenty,All combined,Solar (All),6,0.12807,0.088,14.667,0,
31/08/2014,6,Hawke's Bay,All combined,Solar (All),10,0.18342,0.099,9.875,1,10.000
31/08/2014,7,Taranaki,All combined,Solar (All),2,0.04659,0.009,4.500,0,
31/08/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02421,0.021,10.500,0,
31/08/2014,9,Wellington,All combined,Solar (All),8,0.14768,0.083,10.388,0,
31/08/2014,16,Tasman,All combined,Solar (All),1,0.04958,0.002,2.400,0,
31/08/2014,17,Nelson,All combined,Solar (All),4,0.42328,0.028,7.025,0,
