Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
30/06/2014,12,West Coast,All combined,Solar (All),1,0.04560,0.003,3.000,0,
30/06/2014,13,Canterbury,All combined,Solar (All),21,0.09010,0.116,5.506,1,4.000
30/06/2014,14,Otago,All combined,Solar (All),8,0.06720,0.060,7.461,3,5.867
30/06/2014,15,Southland,All combined,Solar (All),4,0.08400,0.017,4.250,1,5.000
31/07/2014,1,Northland,All combined,Solar (All),7,0.07022,0.044,6.343,0,
31/07/2014,2,Auckland,All combined,Solar (All),24,0.04083,0.160,6.685,0,
31/07/2014,3,Waikato,All combined,Solar (All),14,0.06352,0.096,6.829,1,3.800
31/07/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09246,0.145,12.083,0,
31/07/2014,5,Gisborne,All combined,Solar (All),1,0.06386,0.005,5.000,0,
31/07/2014,6,Hawke's Bay,All combined,Solar (All),5,0.07774,0.029,5.780,0,
31/07/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03646,0.119,29.625,0,
31/07/2014,9,Wellington,All combined,Solar (All),15,0.07936,0.067,4.433,0,
31/07/2014,16,Tasman,All combined,Solar (All),4,0.23895,0.031,7.750,0,
31/07/2014,17,Nelson,All combined,Solar (All),9,0.36675,0.076,8.433,1,10.000
31/07/2014,18,Marlborough,All combined,Solar (All),4,0.16800,0.018,4.450,1,4.800
31/07/2014,12,West Coast,All combined,Solar (All),1,0.04566,0.003,3.000,0,
31/07/2014,13,Canterbury,All combined,Solar (All),24,0.10277,0.135,5.609,3,6.333
31/07/2014,14,Otago,All combined,Solar (All),8,0.06714,0.060,7.461,0,
31/07/2014,15,Southland,All combined,Solar (All),4,0.08416,0.017,4.250,0,
31/08/2014,1,Northland,All combined,Solar (All),10,0.10052,0.059,5.940,3,5.000
31/08/2014,2,Auckland,All combined,Solar (All),26,0.04420,0.173,6.637,3,5.133
31/08/2014,3,Waikato,All combined,Solar (All),15,0.06810,0.102,6.773,1,6.000
31/08/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09231,0.145,12.083,0,
31/08/2014,5,Gisborne,All combined,Solar (All),1,0.06423,0.005,5.000,0,
31/08/2014,6,Hawke's Bay,All combined,Solar (All),7,0.10839,0.049,6.986,2,10.000
31/08/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03642,0.119,29.625,0,
31/08/2014,9,Wellington,All combined,Solar (All),16,0.08441,0.077,4.781,1,10.000
31/08/2014,16,Tasman,All combined,Solar (All),5,0.29886,0.071,14.200,1,40.000
31/08/2014,17,Nelson,All combined,Solar (All),10,0.40717,0.093,9.290,1,17.000
31/08/2014,18,Marlborough,All combined,Solar (All),4,0.16694,0.018,4.450,0,
31/08/2014,12,West Coast,All combined,Solar (All),1,0.04552,0.003,3.000,0,
31/08/2014,13,Canterbury,All combined,Solar (All),25,0.10657,0.140,5.593,1,2.200
31/08/2014,14,Otago,All combined,Solar (All),9,0.07556,0.065,7.188,1,5.000
31/08/2014,15,Southland,All combined,Solar (All),4,0.08386,0.017,4.250,0,
30/09/2014,1,Northland,All combined,Solar (All),10,0.10053,0.059,5.940,0,
30/09/2014,2,Auckland,All combined,Solar (All),26,0.04413,0.173,6.637,0,
30/09/2014,3,Waikato,All combined,Solar (All),16,0.07279,0.107,6.663,1,5.000
