ScenarioCSIRO,Hours,Year,Value,Unit,Notes
Global NZE by 2050,8,2042,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2043,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2044,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2045,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2046,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2047,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2048,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2049,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2050,109,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2051,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2052,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2053,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2054,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2055,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
