techname,sets,tact,tcap
C_OFFC-WH-AIRHP-ELC,DMD,PJ,GW
C_OFFC-WH-Boiler-BIM,DMD,PJ,GW
C_OFFC-WH-Boiler-COA,DMD,PJ,GW
C_OFFC-WH-Boiler-ELC,DMD,PJ,GW
C_OFFC-WH-Boiler-H2R,DMD,PJ,GW
C_OFFC-WH-Boiler-PLT,DMD,PJ,GW
C_OFFC-WH-Boiler-WOD,DMD,PJ,GW
C_OFFC-WH-Cylinder-ELC,DMD,PJ,GW
C_OFFC-WH-Cylinder-NGA,DMD,PJ,GW
C_OTH-LT-FLU-ELC,DMD,PJ,GW
C_OTH-LT-INC-ELC,DMD,PJ,GW
C_OTH-LT-LED-ELC,DMD,PJ,GW
C_OTH-MPM-MPM-DSL,DMD,PJ,GW
C_OTH-MPM-MPM-ELC,DMD,PJ,GW
C_OTH-MPM-MPM-H2R,DMD,PJ,GW
C_OTH-MPM-MPM-PET,DMD,PJ,GW
C_OTH-MPS-MPS-ELC,DMD,PJ,GW
C_OTH-MPS-MPS-H2R,DMD,PJ,GW
C_OTH-OTH-ELEC-ELC,DMD,PJ,GW
C_OTH-PH-Burner-BIG,DMD,PJ,GW
C_OTH-PUMP-PUMP-ELC,DMD,PJ,GW
C_OTH-SC-AIRHP-ELC,DMD,PJ,GW
C_OTH-SH-AIRHP-ELC,DMD,PJ,GW
C_OTH-SH-Boiler-BIM,DMD,PJ,GW
C_OTH-SH-Boiler-COA,DMD,PJ,GW
C_OTH-SH-Boiler-DSL,DMD,PJ,GW
C_OTH-SH-Boiler-ELC,DMD,PJ,GW
C_OTH-SH-Boiler-H2R,DMD,PJ,GW
C_OTH-SH-Boiler-NGA,DMD,PJ,GW
C_OTH-SH-Boiler-PLT,DMD,PJ,GW
C_OTH-SH-Boiler-WOD,DMD,PJ,GW
C_OTH-SH-Burner-NGA,DMD,PJ,GW
C_OTH-SH-RH-ELC,DMD,PJ,GW
C_OTH-WH-AirHP-ELC,DMD,PJ,GW
C_OTH-WH-Boiler-BIM,DMD,PJ,GW
C_OTH-WH-Boiler-COA,DMD,PJ,GW
C_OTH-WH-Boiler-ELC,DMD,PJ,GW
C_OTH-WH-Boiler-H2R,DMD,PJ,GW
C_OTH-WH-Boiler-PLT,DMD,PJ,GW
C_OTH-WH-Boiler-WOD,DMD,PJ,GW
C_OTH-WH-Cylinder-ELC,DMD,PJ,GW
C_OTH-WH-Cylinder-NGA,DMD,PJ,GW
C_OTH-WH-HEATX-GEO,DMD,PJ,GW
C_WSR-CK-CK-ELC,DMD,PJ,GW
C_WSR-CK-CK-H2R,DMD,PJ,GW
C_WSR-CK-Induction-ELC,DMD,PJ,GW
C_WSR-CK-Ovens-ELC,DMD,PJ,GW
C_WSR-CK-Ovens-H2R,DMD,PJ,GW
C_WSR-CK-Ovens-LPG,DMD,PJ,GW
C_WSR-CK-Ovens-NGA,DMD,PJ,GW
C_WSR-LT-FLU-ELC,DMD,PJ,GW
C_WSR-LT-INC-ELC,DMD,PJ,GW
C_WSR-LT-LED-ELC,DMD,PJ,GW
C_WSR-MPM-MPM-DSL,DMD,PJ,GW
C_WSR-MPM-MPM-ELC,DMD,PJ,GW
C_WSR-MPM-MPM-H2R,DMD,PJ,GW
C_WSR-MPM-MPM-LPG,DMD,PJ,GW
C_WSR-MPM-MPM-NGA,DMD,PJ,GW
C_WSR-MPS-MPS-ELC,DMD,PJ,GW
C_WSR-MPS-MPS-H2R,DMD,PJ,GW
C_WSR-OTH-ELEC-ELC,DMD,PJ,GW
C_WSR-RF-Refriger-ELC,DMD,PJ,GW
C_WSR-SC-AIRHP-ELC,DMD,PJ,GW
C_WSR-SH-AIRHP-ELC,DMD,PJ,GW
C_WSR-SH-Boiler-BIM,DMD,PJ,GW
C_WSR-SH-Boiler-COA,DMD,PJ,GW
C_WSR-SH-Boiler-DSL,DMD,PJ,GW
C_WSR-SH-Boiler-ELC,DMD,PJ,GW
C_WSR-SH-Boiler-H2R,DMD,PJ,GW
C_WSR-SH-Boiler-LPG,DMD,PJ,GW
C_WSR-SH-Boiler-NGA,DMD,PJ,GW
C_WSR-SH-Boiler-PLT,DMD,PJ,GW
C_WSR-SH-Boiler-WOD,DMD,PJ,GW
C_WSR-SH-Burner-COA,DMD,PJ,GW
C_WSR-SH-Burner-LPG,DMD,PJ,GW
C_WSR-SH-Burner-NGA,DMD,PJ,GW
C_WSR-SH-HEATX-GEO,DMD,PJ,GW
C_WSR-SH-RH-ELC,DMD,PJ,GW
C_WSR-WH-AirHP-ELC,DMD,PJ,GW
C_WSR-WH-Boiler-BIM,DMD,PJ,GW
C_WSR-WH-Boiler-COA,DMD,PJ,GW
C_WSR-WH-Boiler-ELC,DMD,PJ,GW
C_WSR-WH-Boiler-H2R,DMD,PJ,GW
C_WSR-WH-Boiler-PLT,DMD,PJ,GW
C_WSR-WH-Boiler-WOD,DMD,PJ,GW
C_WSR-WH-Cylinder-ELC,DMD,PJ,GW
C_WSR-WH-Cylinder-NGA,DMD,PJ,GW
C_WSR-WH-HEATX-GEO,DMD,PJ,GW
DARY-COA-BOILR-PH_INT,DMD,PJ,GW
DARY-COA-BOILR-PH_LOW,DMD,PJ,GW
DARY-ELC-ACOMP-COMP_AIR,DMD,PJ,GW
DARY-ELC-BOILR-PH_LOW,DMD,PJ,GW
DARY-ELC-FAN-FAN,DMD,PJ,GW
DARY-ELC-FRIDG-FRIDG,DMD,PJ,GW
DARY-ELC-HPPH-PH_LOW,DMD,PJ,GW
DARY-ELC-HPSH-SH_LOW,DMD,PJ,GW
DARY-ELC-HVAC-SH_LOW,DMD,PJ,GW
DARY-ELC-LIGHT-LIGHT,DMD,PJ,GW
DARY-ELC-MOTOR-MTV_STA,DMD,PJ,GW
DARY-ELC-PUMP-PUMP,DMD,PJ,GW
DARY-ELC-SGHP-PH_INT,DMD,PJ,GW
DARY-ELC-SGHP-PH_LOW,DMD,PJ,GW
DARY-GEO-HEATX-PH_INT,DMD,PJ,GW
DARY-GEO-HEATX-PH_LOW,DMD,PJ,GW
DARY-NGA-BOILR-PH_INT,DMD,PJ,GW
DARY-NGA-BOILR-PH_LOW,DMD,PJ,GW
DARY-WOD-BOILR-PH_INT,DMD,PJ,GW
DD-WH_LOW-FLEX,STG,PJ,PJa
ELC_BAT_2H,"ELE, STG",PJ,GW
ELC_BAT_8H,"ELE, STG",PJ,GW
ELC_BAT_DIST,"ELE, STG",PJ,GW
ELC_BioRecip_Generic,ELE,PJ,GW
ELC_BioRecip_GenericReciprocatingBiogas1HalfwayBush,ELE,PJ,GW
ELC_BioRecip_GenericReciprocatingBiogas2Christchurch,ELE,PJ,GW
ELC_BiogasCHP_Generic,ELE,PJ,GW
ELC_CCGT_HuntlyUnit5E3P,ELE,PJ,GW
ELC_CCGT_TCC,ELE,PJ,GW
ELC_CoalCHP_GlenbrookSteel,ELE,PJ,GW
ELC_DslPkr_Generic,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker1Huntly,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker2Stratford,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker3Otahuhu,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker4Southdown,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker5Marsden,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker6Huntly,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker7Otahuhu,ELE,PJ,GW
ELC_DslPkr_GenericDieselPeaker8Huntly,ELE,PJ,GW
ELC_DslPkr_Whirinaki,ELE,PJ,GW
ELC_GasCHP_FonterraWhareroa,ELE,PJ,GW
ELC_GasCHP_Kapuni,ELE,PJ,GW
ELC_GasCHP_TeRapa,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker1Huntly,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker2Stratford,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker3Otahuhu,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker4Southdown,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker5Marsden,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker6Huntly,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker7Otahuhu,ELE,PJ,GW
ELC_GasPkr_GenericOCGTPeaker8Huntly,ELE,PJ,GW
ELC_GasPkr_HuntlyUnit6P40,ELE,PJ,GW
ELC_GasPkr_JunctionRoad,ELE,PJ,GW
ELC_GasPkr_McKee,ELE,PJ,GW
ELC_GasPkr_StratfordPeaker,ELE,PJ,GW
ELC_GasPkr_WaikatoPowerPlant,ELE,PJ,GW
ELC_GeoCHP_Generic,ELE,PJ,GW
ELC_Geo_AtiamuriGeothermal,ELE,PJ,GW
ELC_Geo_Generic,ELE,PJ,GW
ELC_Geo_Kawerau,ELE,PJ,GW
ELC_Geo_KawerauTOPP2,ELE,PJ,GW
ELC_Geo_MakaiOutflow,ELE,PJ,GW
ELC_Geo_MangakinoGenericGeothermal,ELE,PJ,GW
ELC_Geo_Mokai,ELE,PJ,GW
ELC_Geo_NgaAwaPurua,ELE,PJ,GW
ELC_Geo_NgaTamariki,ELE,PJ,GW
ELC_Geo_NgatamarikiExpansion,ELE,PJ,GW
ELC_Geo_NgawhaExpansionStage5,ELE,PJ,GW
ELC_Geo_NgawhaExpansionStage6,ELE,PJ,GW
ELC_Geo_NgawhaOEC13,ELE,PJ,GW
ELC_Geo_NgawhaOEC4,ELE,PJ,GW
ELC_Geo_NgawhaStage4OEC5,ELE,PJ,GW
ELC_Geo_Ohaaki,ELE,PJ,GW
ELC_Geo_Poihipi,ELE,PJ,GW
ELC_Geo_ReporoaStage1,ELE,PJ,GW
ELC_Geo_ReporoaStage2,ELE,PJ,GW
ELC_Geo_ReporoaStage3,ELE,PJ,GW
ELC_Geo_Rotokawa,ELE,PJ,GW
ELC_Geo_TOPP1,ELE,PJ,GW
ELC_Geo_TahekeGeothermalProject,ELE,PJ,GW
ELC_Geo_TahekeStage2,ELE,PJ,GW
ELC_Geo_TahekeStage3,ELE,PJ,GW
ELC_Geo_TauharaExpansionStage2,ELE,PJ,GW
ELC_Geo_TauharaExpansionStage3,ELE,PJ,GW
ELC_Geo_TauharaStage1,ELE,PJ,GW
ELC_Geo_TauharaStage1Expansion,ELE,PJ,GW
ELC_Geo_TeAhiOMaui,ELE,PJ,GW
ELC_Geo_TeHukaBinary,ELE,PJ,GW
ELC_Geo_TeHukaUnit3,ELE,PJ,GW
ELC_Geo_TeMihi,ELE,PJ,GW
ELC_Geo_TeMihiExpansion,ELE,PJ,GW
ELC_Geo_TikitereStage1,ELE,PJ,GW
ELC_Geo_TokaanuGeothermalStage2,ELE,PJ,GW
ELC_Geo_Wairakei,ELE,PJ,GW
ELC_Geo_WairakeiCD,ELE,PJ,GW
ELC_HydRR_BranchRiver,ELE,PJ,GW
ELC_HydRR_BushStreamHydroPlant,ELE,PJ,GW
ELC_HydRR_ClarenceHydro54,ELE,PJ,GW
ELC_HydRR_ClarenceHydroConway,ELE,PJ,GW
ELC_HydRR_ClarenceHydroWaiauDiversions,ELE,PJ,GW
ELC_HydRR_CluthaRiverBeaumontExpansion,ELE,PJ,GW
ELC_HydRR_CluthaRiverLuggateExpansion,ELE,PJ,GW
ELC_HydRR_CluthaRiverQueensberryExpansion,ELE,PJ,GW
ELC_HydRR_CluthaRiverTuapekaExpansion,ELE,PJ,GW
ELC_HydRR_MatakitakiRiverGenericHydroPlant,ELE,PJ,GW
ELC_HydRR_NgakawauHydroScheme,ELE,PJ,GW
ELC_HydRR_PottsRiverHydro,ELE,PJ,GW
ELC_HydRR_RakaiaRiverDam,ELE,PJ,GW
ELC_HydRR_Taramakau,ELE,PJ,GW
ELC_HydRR_WairauHydroExpansion,ELE,PJ,GW
ELC_HydRR_WhitcombeRiver,ELE,PJ,GW
ELC_HydSC_Aniwhenua,ELE,PJ,GW
ELC_HydSC_Arapuni,ELE,PJ,GW
ELC_HydSC_Aratiatia,ELE,PJ,GW
ELC_HydSC_ArnoldValleyHydro,ELE,PJ,GW
ELC_HydSC_Atiamuri,ELE,PJ,GW
ELC_HydSC_Aviemore,ELE,PJ,GW
ELC_HydSC_Benmore,ELE,PJ,GW
ELC_HydSC_Clyde,ELE,PJ,GW
ELC_HydSC_Cobb,ELE,PJ,GW
ELC_HydSC_Coleridge,ELE,PJ,GW
ELC_HydSC_Generic,ELE,PJ,GW
ELC_HydSC_HaweaGatesHydroPlant,ELE,PJ,GW
ELC_HydSC_Highbank,ELE,PJ,GW
ELC_HydSC_KaimaiHydroScheme,ELE,PJ,GW
ELC_HydSC_Kaitawa,ELE,PJ,GW
ELC_HydSC_Karapiro,ELE,PJ,GW
ELC_HydSC_LakePukakiHydroPlant,ELE,PJ,GW
ELC_HydSC_Manapouri,ELE,PJ,GW
ELC_HydSC_Mangahao,ELE,PJ,GW
ELC_HydSC_Maraetai,ELE,PJ,GW
ELC_HydSC_Matahina,ELE,PJ,GW
ELC_HydSC_Ohakuri,ELE,PJ,GW
ELC_HydSC_OhauA,ELE,PJ,GW
ELC_HydSC_OhauB,ELE,PJ,GW
ELC_HydSC_OhauC,ELE,PJ,GW
ELC_HydSC_PaerauGorge,ELE,PJ,GW
ELC_HydSC_Patea,ELE,PJ,GW
ELC_HydSC_Piripaua,ELE,PJ,GW
ELC_HydSC_Rangipo,ELE,PJ,GW
ELC_HydSC_RoaringMeg,ELE,PJ,GW
ELC_HydSC_Roxburgh,ELE,PJ,GW
ELC_HydSC_TakapoA,ELE,PJ,GW
ELC_HydSC_TakapoB,ELE,PJ,GW
ELC_HydSC_Teviot,ELE,PJ,GW
ELC_HydSC_TokaanuMangaio,ELE,PJ,GW
ELC_HydSC_Tuai,ELE,PJ,GW
ELC_HydSC_Waipapa,ELE,PJ,GW
ELC_HydSC_Waipori,ELE,PJ,GW
ELC_HydSC_Waitaki,ELE,PJ,GW
ELC_HydSC_Whakamaru,ELE,PJ,GW
ELC_HydSC_WheaoAndFlaxy,ELE,PJ,GW
ELC_Rankine_HuntlyUnits14,ELE,PJ,GW
ELC_SolarDistBifacial_Com,ELE,PJ,GW
ELC_SolarDistBifacial_Ind,ELE,PJ,GW
ELC_SolarDistSmall_Res,ELE,PJ,GW
ELC_SolarTrack_ArgyleSolarFarm,ELE,PJ,GW
ELC_SolarTrack_ArgyleSolarFarmNorthernArea,ELE,PJ,GW
ELC_SolarTrack_BrooksideSolarFarm,ELE,PJ,GW
ELC_SolarTrack_ClandeboyeSolarFarm,ELE,PJ,GW
ELC_SolarTrack_DannevirkeSolarFarm,ELE,PJ,GW
ELC_SolarTrack_DunsandelSolarFarm,ELE,PJ,GW
ELC_SolarTrack_EdgecumbeSolarFarmFNSF,ELE,PJ,GW
ELC_SolarTrack_EdgecumbeSolarHelios,ELE,PJ,GW
ELC_SolarTrack_FoxtonSolarFarm,ELE,PJ,GW
ELC_SolarTrack_GenericSolar10,ELE,PJ,GW
